exercise_id,name,gif_url,body_parts,equipments,target_muscles,secondary_muscles,instructions,primary_body_part,primary_equipment,primary_target_muscle,instruction_text,instruction_step_count
ayAHcEm,smith incline shoulder raises,https://static.exercisedb.dev/media/ayAHcEm.gif,"[""chest""]","[""smith machine""]","[""serratus anterior""]","[""deltoids"", ""trapezius""]","[""step:1 adjust the smith machine to an incline position."", ""step:2 stand facing the machine with your feet shoulder-width apart."", ""step:3 grasp the bar with an overhand grip, slightly wider than shoulder-width apart."", ""step:4 keep your back straight and core engaged."", ""step:5 raise the barbell up towards the ceiling, leading with your elbows."", ""step:6 pause for a moment at the top, then slowly lower the barbell back down to the starting position."", ""step:7 repeat for the desired number of repetitions.""]",chest,smith machine,serratus anterior,"step:1 adjust the smith machine to an incline position. step:2 stand facing the machine with your feet shoulder-width apart. step:3 grasp the bar with an overhand grip, slightly wider than shoulder-width apart. step:4 keep your back straight and core engaged. step:5 raise the barbell up towards the ceiling, leading with your elbows. step:6 pause for a moment at the top, then slowly lower the barbell back down to the starting position. step:7 repeat for the desired number of repetitions.",7
B1EVP9F,incline push-up,https://static.exercisedb.dev/media/B1EVP9F.gif,"[""chest""]","[""body weight""]","[""pectorals""]","[""triceps"", ""shoulders""]","[""step:1 place your hands on an elevated surface, such as a bench or step, slightly wider than shoulder-width apart."", ""step:2 extend your legs behind you, resting on the balls of your feet, creating a straight line from your head to your heels."", ""step:3 lower your chest towards the elevated surface by bending your elbows, keeping your body in a straight line."", ""step:4 pause for a moment at the bottom, then push yourself back up to the starting position by straightening your arms."", ""step:5 repeat for the desired number of repetitions.""]",chest,body weight,pectorals,"step:1 place your hands on an elevated surface, such as a bench or step, slightly wider than shoulder-width apart. step:2 extend your legs behind you, resting on the balls of your feet, creating a straight line from your head to your heels. step:3 lower your chest towards the elevated surface by bending your elbows, keeping your body in a straight line. step:4 pause for a moment at the bottom, then push yourself back up to the starting position by straightening your arms. step:5 repeat for the desired number of repetitions.",5
b2Uoz54,barbell front raise,https://static.exercisedb.dev/media/b2Uoz54.gif,"[""shoulders""]","[""barbell""]","[""delts""]","[""biceps"", ""triceps""]","[""step:1 stand with your feet shoulder-width apart and hold a barbell in front of your thighs with an overhand grip."", ""step:2 keep your arms straight and lift the barbell forward and upward until it reaches shoulder level."", ""step:3 pause for a moment at the top, then slowly lower the barbell back down to the starting position."", ""step:4 repeat for the desired number of repetitions.""]",shoulders,barbell,delts,"step:1 stand with your feet shoulder-width apart and hold a barbell in front of your thighs with an overhand grip. step:2 keep your arms straight and lift the barbell forward and upward until it reaches shoulder level. step:3 pause for a moment at the top, then slowly lower the barbell back down to the starting position. step:4 repeat for the desired number of repetitions.",4
B3Rxp6L,dumbbell incline breeding,https://static.exercisedb.dev/media/B3Rxp6L.gif,"[""chest""]","[""dumbbell""]","[""pectorals""]","[""shoulders"", ""triceps""]","[""step:1 set up an incline bench at a 45-degree angle."", ""step:2 sit on the bench with your back against the pad and feet flat on the ground."", ""step:3 hold a dumbbell in each hand with an overhand grip, palms facing forward."", ""step:4 start with your arms fully extended, perpendicular to the ground."", ""step:5 lower the dumbbells slowly to the sides of your chest, keeping your elbows at a 90-degree angle."", ""step:6 pause for a moment at the bottom, then push the dumbbells back up to the starting position."", ""step:7 repeat for the desired number of repetitions.""]",chest,dumbbell,pectorals,"step:1 set up an incline bench at a 45-degree angle. step:2 sit on the bench with your back against the pad and feet flat on the ground. step:3 hold a dumbbell in each hand with an overhand grip, palms facing forward. step:4 start with your arms fully extended, perpendicular to the ground. step:5 lower the dumbbells slowly to the sides of your chest, keeping your elbows at a 90-degree angle. step:6 pause for a moment at the bottom, then push the dumbbells back up to the starting position. step:7 repeat for the desired number of repetitions.",7
b4b6afT,weighted seated bicep curl (on stability ball),https://static.exercisedb.dev/media/b4b6afT.gif,"[""upper arms""]","[""medicine ball""]","[""biceps""]","[""forearms""]","[""step:1 sit on a stability ball with your feet flat on the ground and your back straight."", ""step:2 hold a medicine ball with an underhand grip, palms facing up, and let your arms hang down by your sides."", ""step:3 keeping your upper arms stationary, exhale and curl the medicine ball up towards your shoulders."", ""step:4 pause for a moment at the top, squeezing your biceps."", ""step:5 inhale and slowly lower the medicine ball back down to the starting position."", ""step:6 repeat for the desired number of repetitions.""]",upper arms,medicine ball,biceps,"step:1 sit on a stability ball with your feet flat on the ground and your back straight. step:2 hold a medicine ball with an underhand grip, palms facing up, and let your arms hang down by your sides. step:3 keeping your upper arms stationary, exhale and curl the medicine ball up towards your shoulders. step:4 pause for a moment at the top, squeezing your biceps. step:5 inhale and slowly lower the medicine ball back down to the starting position. step:6 repeat for the desired number of repetitions.",6
b5uBMv2,exercise ball alternating arm ups with fast,https://static.exercisedb.dev/media/b5uBMv2.gif,"[""back""]","[""stability ball""]","[""lats""]","[""shoulders"", ""core""]","[""step:1 sit on the stability ball with your feet flat on the ground and your back straight."", ""step:2 hold a dumbbell in each hand with your palms facing inwards and your arms extended down by your sides."", ""step:3 engage your core and slowly lift one arm up towards your shoulder, keeping your elbow slightly bent. perform with fast intensity."", ""step:4 pause for a moment at the top, then slowly lower your arm back down to the starting position."", ""step:5 repeat the movement with the other arm."", ""step:6 continue alternating arms for the desired number of repetitions.""]",back,stability ball,lats,"step:1 sit on the stability ball with your feet flat on the ground and your back straight. step:2 hold a dumbbell in each hand with your palms facing inwards and your arms extended down by your sides. step:3 engage your core and slowly lift one arm up towards your shoulder, keeping your elbow slightly bent. perform with fast intensity. step:4 pause for a moment at the top, then slowly lower your arm back down to the starting position. step:5 repeat the movement with the other arm. step:6 continue alternating arms for the desired number of repetitions.",6
B5xca8s,hands clasped circular toe touch (male),https://static.exercisedb.dev/media/B5xca8s.gif,"[""upper legs""]","[""body weight""]","[""glutes""]","[""hamstrings"", ""quadriceps"", ""calves""]","[""step:1 stand with your feet shoulder-width apart and your hands clasped together in front of your chest."", ""step:2 bend your knees slightly and hinge forward at the hips, keeping your back straight."", ""step:3 lower your hands towards your toes in a circular motion, reaching as far as you can without straining."", ""step:4 pause for a moment at the bottom, then slowly return to the starting position."", ""step:5 repeat for the desired number of repetitions.""]",upper legs,body weight,glutes,"step:1 stand with your feet shoulder-width apart and your hands clasped together in front of your chest. step:2 bend your knees slightly and hinge forward at the hips, keeping your back straight. step:3 lower your hands towards your toes in a circular motion, reaching as far as you can without straining. step:4 pause for a moment at the bottom, then slowly return to the starting position. step:5 repeat for the desired number of repetitions.",5
b63ZzGe,potty squat with support,https://static.exercisedb.dev/media/b63ZzGe.gif,"[""upper legs""]","[""body weight""]","[""glutes""]","[""quadriceps"", ""hamstrings"", ""calves""]","[""step:1 stand with your feet shoulder-width apart, toes pointing slightly outward."", ""step:2 hold onto a stable support, such as a chair or wall, for balance."", ""step:3 lower your body down into a squat position by bending your knees and pushing your hips back."", ""step:4 keep your chest up and your back straight throughout the movement."", ""step:5 pause for a moment at the bottom, then push through your heels to return to the starting position."", ""step:6 repeat for the desired number of repetitions.""]",upper legs,body weight,glutes,"step:1 stand with your feet shoulder-width apart, toes pointing slightly outward. step:2 hold onto a stable support, such as a chair or wall, for balance. step:3 lower your body down into a squat position by bending your knees and pushing your hips back. step:4 keep your chest up and your back straight throughout the movement. step:5 pause for a moment at the bottom, then push through your heels to return to the starting position. step:6 repeat for the desired number of repetitions.",6
B6dAO1t,smith seated wrist curl,https://static.exercisedb.dev/media/B6dAO1t.gif,"[""lower arms""]","[""smith machine""]","[""forearms""]","[""biceps"", ""brachialis""]","[""step:1 sit on a bench in front of a smith machine with your feet flat on the ground."", ""step:2 grasp the barbell with an underhand grip, hands shoulder-width apart."", ""step:3 rest your forearms on your thighs, allowing your wrists to hang off."", ""step:4 slowly curl your wrists upward, bringing the barbell towards your forearms."", ""step:5 pause for a moment at the top, then slowly lower the barbell back down to the starting position."", ""step:6 repeat for the desired number of repetitions.""]",lower arms,smith machine,forearms,"step:1 sit on a bench in front of a smith machine with your feet flat on the ground. step:2 grasp the barbell with an underhand grip, hands shoulder-width apart. step:3 rest your forearms on your thighs, allowing your wrists to hang off. step:4 slowly curl your wrists upward, bringing the barbell towards your forearms. step:5 pause for a moment at the top, then slowly lower the barbell back down to the starting position. step:6 repeat for the desired number of repetitions.",6
b6hQYMb,lever preacher curl,https://static.exercisedb.dev/media/b6hQYMb.gif,"[""upper arms""]","[""leverage machine""]","[""biceps""]","[""forearms""]","[""step:1 adjust the seat height and position yourself on the leverage machine."", ""step:2 place your upper arms on the pad and grip the handles with an underhand grip."", ""step:3 keep your back straight and your elbows positioned on the pad."", ""step:4 exhale and curl your forearms towards your upper arms, contracting your biceps."", ""step:5 pause for a moment at the top of the movement, squeezing your biceps."", ""step:6 inhale and slowly lower the handles back to the starting position."", ""step:7 repeat for the desired number of repetitions.""]",upper arms,leverage machine,biceps,"step:1 adjust the seat height and position yourself on the leverage machine. step:2 place your upper arms on the pad and grip the handles with an underhand grip. step:3 keep your back straight and your elbows positioned on the pad. step:4 exhale and curl your forearms towards your upper arms, contracting your biceps. step:5 pause for a moment at the top of the movement, squeezing your biceps. step:6 inhale and slowly lower the handles back to the starting position. step:7 repeat for the desired number of repetitions.",7
b9kqlBy,kettlebell alternating renegade row,https://static.exercisedb.dev/media/b9kqlBy.gif,"[""back""]","[""kettlebell""]","[""upper back""]","[""core"", ""shoulders""]","[""step:1 start in a high plank position with your hands gripping the kettlebells and your feet hip-width apart."", ""step:2 engage your core and keep your body in a straight line from head to heels."", ""step:3 pull one kettlebell up towards your chest, keeping your elbow close to your body."", ""step:4 lower the kettlebell back down to the starting position and repeat with the other arm."", ""step:5 continue alternating arms for the desired number of repetitions.""]",back,kettlebell,upper back,"step:1 start in a high plank position with your hands gripping the kettlebells and your feet hip-width apart. step:2 engage your core and keep your body in a straight line from head to heels. step:3 pull one kettlebell up towards your chest, keeping your elbow close to your body. step:4 lower the kettlebell back down to the starting position and repeat with the other arm. step:5 continue alternating arms for the desired number of repetitions.",5
BaE7O6U,hanging oblique knee raise,https://static.exercisedb.dev/media/BaE7O6U.gif,"[""waist""]","[""body weight""]","[""abs""]","[""obliques""]","[""step:1 hang from a pull-up bar with your arms fully extended and your palms facing away from you."", ""step:2 engage your core and lift your knees towards your chest, twisting your torso to the side as you do so."", ""step:3 pause for a moment at the top, then slowly lower your legs back down to the starting position."", ""step:4 repeat on the other side, twisting your torso in the opposite direction."", ""step:5 continue alternating sides for the desired number of repetitions.""]",waist,body weight,abs,"step:1 hang from a pull-up bar with your arms fully extended and your palms facing away from you. step:2 engage your core and lift your knees towards your chest, twisting your torso to the side as you do so. step:3 pause for a moment at the top, then slowly lower your legs back down to the starting position. step:4 repeat on the other side, twisting your torso in the opposite direction. step:5 continue alternating sides for the desired number of repetitions.",5
BbfB8Gb,basic toe touch (male),https://static.exercisedb.dev/media/BbfB8Gb.gif,"[""upper legs""]","[""body weight""]","[""glutes""]","[""hamstrings"", ""calves""]","[""step:1 stand with your feet shoulder-width apart and your arms by your sides."", ""step:2 bend forward at the waist, keeping your back straight and your knees slightly bent."", ""step:3 reach down towards your toes with your hands, keeping your legs as straight as possible."", ""step:4 pause for a moment at the bottom, then slowly return to the starting position."", ""step:5 repeat for the desired number of repetitions.""]",upper legs,body weight,glutes,"step:1 stand with your feet shoulder-width apart and your arms by your sides. step:2 bend forward at the waist, keeping your back straight and your knees slightly bent. step:3 reach down towards your toes with your hands, keeping your legs as straight as possible. step:4 pause for a moment at the bottom, then slowly return to the starting position. step:5 repeat for the desired number of repetitions.",5
bBi35y3,dumbbell standing alternate overhead press,https://static.exercisedb.dev/media/bBi35y3.gif,"[""shoulders""]","[""dumbbell""]","[""delts""]","[""triceps"", ""core""]","[""step:1 stand with your feet shoulder-width apart, holding a dumbbell in each hand at shoulder level with your palms facing forward."", ""step:2 press one dumbbell overhead, fully extending your arm."", ""step:3 lower the dumbbell back to shoulder level."", ""step:4 repeat with the other arm."", ""step:5 continue alternating arms for the desired number of repetitions.""]",shoulders,dumbbell,delts,"step:1 stand with your feet shoulder-width apart, holding a dumbbell in each hand at shoulder level with your palms facing forward. step:2 press one dumbbell overhead, fully extending your arm. step:3 lower the dumbbell back to shoulder level. step:4 repeat with the other arm. step:5 continue alternating arms for the desired number of repetitions.",5
bbLR7fB,band lying straight leg raise,https://static.exercisedb.dev/media/bbLR7fB.gif,"[""waist""]","[""band""]","[""abs""]","[""hip flexors""]","[""step:1 lie flat on your back with your legs straight and your feet together."", ""step:2 place the band around the arches of your feet and hold the ends of the band with your hands."", ""step:3 engaging your abs, lift both legs off the ground until they are perpendicular to the floor."", ""step:4 pause for a moment at the top, then slowly lower your legs back down to the starting position."", ""step:5 repeat for the desired number of repetitions.""]",waist,band,abs,"step:1 lie flat on your back with your legs straight and your feet together. step:2 place the band around the arches of your feet and hold the ends of the band with your hands. step:3 engaging your abs, lift both legs off the ground until they are perpendicular to the floor. step:4 pause for a moment at the top, then slowly lower your legs back down to the starting position. step:5 repeat for the desired number of repetitions.",5
BCGQ6J5,cable close grip curl,https://static.exercisedb.dev/media/BCGQ6J5.gif,"[""upper arms""]","[""cable""]","[""biceps""]","[""forearms""]","[""step:1 attach a straight bar to a low pulley cable machine."", ""step:2 stand facing the machine with your feet shoulder-width apart and your knees slightly bent."", ""step:3 grasp the bar with an underhand grip, hands shoulder-width apart."", ""step:4 keep your elbows close to your sides and your upper arms stationary throughout the exercise."", ""step:5 exhale and curl the bar up towards your shoulders, contracting your biceps."", ""step:6 pause for a moment at the top of the movement, squeezing your biceps."", ""step:7 inhale and slowly lower the bar back to the starting position, fully extending your arms."", ""step:8 repeat for the desired number of repetitions.""]",upper arms,cable,biceps,"step:1 attach a straight bar to a low pulley cable machine. step:2 stand facing the machine with your feet shoulder-width apart and your knees slightly bent. step:3 grasp the bar with an underhand grip, hands shoulder-width apart. step:4 keep your elbows close to your sides and your upper arms stationary throughout the exercise. step:5 exhale and curl the bar up towards your shoulders, contracting your biceps. step:6 pause for a moment at the top of the movement, squeezing your biceps. step:7 inhale and slowly lower the bar back to the starting position, fully extending your arms. step:8 repeat for the desired number of repetitions.",8
BCs0G2F,barbell sitted alternate leg raise (female),https://static.exercisedb.dev/media/BCs0G2F.gif,"[""waist""]","[""barbell""]","[""abs""]","[""hip flexors"", ""quadriceps""]","[""step:1 sit on a bench with your back straight and hold a barbell across your thighs."", ""step:2 place your hands on the sides of the bench for support."", ""step:3 keeping your legs straight, lift one leg up as high as possible while keeping it parallel to the ground."", ""step:4 lower the leg back down and repeat with the other leg."", ""step:5 continue alternating legs for the desired number of repetitions.""]",waist,barbell,abs,"step:1 sit on a bench with your back straight and hold a barbell across your thighs. step:2 place your hands on the sides of the bench for support. step:3 keeping your legs straight, lift one leg up as high as possible while keeping it parallel to the ground. step:4 lower the leg back down and repeat with the other leg. step:5 continue alternating legs for the desired number of repetitions.",5
BCUR88E,dumbbell standing one arm extension,https://static.exercisedb.dev/media/BCUR88E.gif,"[""upper arms""]","[""dumbbell""]","[""triceps""]","[""shoulders""]","[""step:1 stand with your feet shoulder-width apart, holding a dumbbell in one hand."", ""step:2 raise the dumbbell overhead, fully extending your arm."", ""step:3 keep your upper arm close to your head and perpendicular to the ground."", ""step:4 slowly lower the dumbbell behind your head, bending your elbow."", ""step:5 pause for a moment, then raise the dumbbell back to the starting position."", ""step:6 repeat for the desired number of repetitions.""]",upper arms,dumbbell,triceps,"step:1 stand with your feet shoulder-width apart, holding a dumbbell in one hand. step:2 raise the dumbbell overhead, fully extending your arm. step:3 keep your upper arm close to your head and perpendicular to the ground. step:4 slowly lower the dumbbell behind your head, bending your elbow. step:5 pause for a moment, then raise the dumbbell back to the starting position. step:6 repeat for the desired number of repetitions.",6
bd5b860,wrist rollerer,https://static.exercisedb.dev/media/bd5b860.gif,"[""lower arms""]","[""weighted""]","[""forearms""]","[""biceps"", ""triceps""]","[""step:1 attach a weight to one end of a rope or bar."", ""step:2 hold the other end of the rope or bar with both hands, palms facing down."", ""step:3 stand with your feet shoulder-width apart and your arms fully extended in front of you."", ""step:4 slowly roll the weight up towards your hands by flexing your wrists."", ""step:5 pause for a moment at the top, then slowly lower the weight back down to the starting position."", ""step:6 repeat for the desired number of repetitions.""]",lower arms,weighted,forearms,"step:1 attach a weight to one end of a rope or bar. step:2 hold the other end of the rope or bar with both hands, palms facing down. step:3 stand with your feet shoulder-width apart and your arms fully extended in front of you. step:4 slowly roll the weight up towards your hands by flexing your wrists. step:5 pause for a moment at the top, then slowly lower the weight back down to the starting position. step:6 repeat for the desired number of repetitions.",6
bdWcbaU,frankenstein squat,https://static.exercisedb.dev/media/bdWcbaU.gif,"[""upper legs""]","[""barbell""]","[""glutes""]","[""quadriceps"", ""hamstrings"", ""calves""]","[""step:1 stand with your feet shoulder-width apart and hold the barbell in front of your body with straight arms."", ""step:2 keeping your back straight, lower your body by bending at the knees and hips, as if sitting back into a chair."", ""step:3 continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go."", ""step:4 pause for a moment, then push through your heels to return to the starting position."", ""step:5 repeat for the desired number of repetitions.""]",upper legs,barbell,glutes,"step:1 stand with your feet shoulder-width apart and hold the barbell in front of your body with straight arms. step:2 keeping your back straight, lower your body by bending at the knees and hips, as if sitting back into a chair. step:3 continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go. step:4 pause for a moment, then push through your heels to return to the starting position. step:5 repeat for the desired number of repetitions.",5
BeReYBf,side-to-side chin with reverse,https://static.exercisedb.dev/media/BeReYBf.gif,"[""back""]","[""body weight""]","[""lats""]","[""biceps"", ""forearms""]","[""step:1 stand with your feet shoulder-width apart and your knees slightly bent."", ""step:2 grasp a pull-up bar with an overhand grip, hands slightly wider than shoulder-width apart."", ""step:3 hang from the bar with your arms fully extended and your body relaxed."", ""step:4 pull yourself up by bending your elbows and bringing your chin towards the bar, while keeping your body straight. perform with reverse intensity."", ""step:5 once your chin is above the bar, lower yourself back down to the starting position."", ""step:6 repeat for the desired number of repetitions.""]",back,body weight,lats,"step:1 stand with your feet shoulder-width apart and your knees slightly bent. step:2 grasp a pull-up bar with an overhand grip, hands slightly wider than shoulder-width apart. step:3 hang from the bar with your arms fully extended and your body relaxed. step:4 pull yourself up by bending your elbows and bringing your chin towards the bar, while keeping your body straight. perform with reverse intensity. step:5 once your chin is above the bar, lower yourself back down to the starting position. step:6 repeat for the desired number of repetitions.",6
bfiHMpI,dumbbell incline press on exercise ball,https://static.exercisedb.dev/media/bfiHMpI.gif,"[""chest""]","[""dumbbell""]","[""pectorals""]","[""shoulders"", ""triceps""]","[""step:1 sit on an exercise ball with a dumbbell in each hand, palms facing forward."", ""step:2 slowly walk your feet forward, rolling your body down the ball until your head, neck, and upper back are supported on the ball."", ""step:3 hold the dumbbells at shoulder level, elbows bent and pointing out to the sides."", ""step:4 press the dumbbells upward, extending your arms fully."", ""step:5 pause for a moment at the top, then slowly lower the dumbbells back to the starting position."", ""step:6 repeat for the desired number of repetitions.""]",chest,dumbbell,pectorals,"step:1 sit on an exercise ball with a dumbbell in each hand, palms facing forward. step:2 slowly walk your feet forward, rolling your body down the ball until your head, neck, and upper back are supported on the ball. step:3 hold the dumbbells at shoulder level, elbows bent and pointing out to the sides. step:4 press the dumbbells upward, extending your arms fully. step:5 pause for a moment at the top, then slowly lower the dumbbells back to the starting position. step:6 repeat for the desired number of repetitions.",6
Bg5JKSH,dumbbell incline one arm press on exercise ball,https://static.exercisedb.dev/media/Bg5JKSH.gif,"[""chest""]","[""dumbbell""]","[""pectorals""]","[""shoulders"", ""triceps""]","[""step:1 sit on an exercise ball with a dumbbell in one hand, feet flat on the ground."", ""step:2 slowly walk your feet forward, rolling the ball until your head, neck, and upper back are supported on the ball."", ""step:3 hold the dumbbell at shoulder height with your palm facing forward."", ""step:4 press the dumbbell upward until your arm is fully extended."", ""step:5 pause for a moment at the top, then slowly lower the dumbbell back to the starting position."", ""step:6 repeat for the desired number of repetitions, then switch to the other arm.""]",chest,dumbbell,pectorals,"step:1 sit on an exercise ball with a dumbbell in one hand, feet flat on the ground. step:2 slowly walk your feet forward, rolling the ball until your head, neck, and upper back are supported on the ball. step:3 hold the dumbbell at shoulder height with your palm facing forward. step:4 press the dumbbell upward until your arm is fully extended. step:5 pause for a moment at the top, then slowly lower the dumbbell back to the starting position. step:6 repeat for the desired number of repetitions, then switch to the other arm.",6
BgljGjd,lever reverse t-bar row,https://static.exercisedb.dev/media/BgljGjd.gif,"[""back""]","[""leverage machine""]","[""upper back""]","[""biceps"", ""forearms""]","[""step:1 adjust the seat height and footplate position on the leverage machine."", ""step:2 sit on the machine with your chest against the pad and your feet flat on the footplate."", ""step:3 grasp the handles with an overhand grip, slightly wider than shoulder-width apart."", ""step:4 keep your back straight and engage your core."", ""step:5 pull the handles towards your chest, squeezing your shoulder blades together."", ""step:6 pause for a moment at the top of the movement, then slowly release and extend your arms back to the starting position."", ""step:7 repeat for the desired number of repetitions.""]",back,leverage machine,upper back,"step:1 adjust the seat height and footplate position on the leverage machine. step:2 sit on the machine with your chest against the pad and your feet flat on the footplate. step:3 grasp the handles with an overhand grip, slightly wider than shoulder-width apart. step:4 keep your back straight and engage your core. step:5 pull the handles towards your chest, squeezing your shoulder blades together. step:6 pause for a moment at the top of the movement, then slowly release and extend your arms back to the starting position. step:7 repeat for the desired number of repetitions.",7
BIb1tGo,dumbbell standing one arm curl (over incline bench),https://static.exercisedb.dev/media/BIb1tGo.gif,"[""upper arms""]","[""dumbbell""]","[""biceps""]","[""forearms""]","[""step:1 stand with your feet shoulder-width apart, holding a dumbbell in one hand with your palm facing forward."", ""step:2 place your other hand on an incline bench for support."", ""step:3 keeping your upper arm stationary, exhale and curl the dumbbell towards your shoulder by contracting your biceps."", ""step:4 pause for a moment at the top, then inhale and slowly lower the dumbbell back to the starting position."", ""step:5 repeat for the desired number of repetitions, then switch arms.""]",upper arms,dumbbell,biceps,"step:1 stand with your feet shoulder-width apart, holding a dumbbell in one hand with your palm facing forward. step:2 place your other hand on an incline bench for support. step:3 keeping your upper arm stationary, exhale and curl the dumbbell towards your shoulder by contracting your biceps. step:4 pause for a moment at the top, then inhale and slowly lower the dumbbell back to the starting position. step:5 repeat for the desired number of repetitions, then switch arms.",5
BJ0Hz5L,dumbbell bent over row,https://static.exercisedb.dev/media/BJ0Hz5L.gif,"[""back""]","[""dumbbell""]","[""upper back""]","[""biceps"", ""forearms""]","[""step:1 stand with your feet shoulder-width apart, knees slightly bent, and hold a dumbbell in each hand with your palms facing your body."", ""step:2 bend forward at the hips, keeping your back straight and your core engaged."", ""step:3 let your arms hang straight down towards the floor, with your elbows slightly bent."", ""step:4 pull the dumbbells up towards your chest, squeezing your shoulder blades together."", ""step:5 pause for a moment at the top, then slowly lower the dumbbells back down to the starting position."", ""step:6 repeat for the desired number of repetitions.""]",back,dumbbell,upper back,"step:1 stand with your feet shoulder-width apart, knees slightly bent, and hold a dumbbell in each hand with your palms facing your body. step:2 bend forward at the hips, keeping your back straight and your core engaged. step:3 let your arms hang straight down towards the floor, with your elbows slightly bent. step:4 pull the dumbbells up towards your chest, squeezing your shoulder blades together. step:5 pause for a moment at the top, then slowly lower the dumbbells back down to the starting position. step:6 repeat for the desired number of repetitions.",6
bjqbauy,weighted standing hand squeeze,https://static.exercisedb.dev/media/bjqbauy.gif,"[""lower arms""]","[""weighted""]","[""forearms""]","[""biceps"", ""triceps""]","[""step:1 stand with your feet shoulder-width apart and hold a weight in each hand."", ""step:2 extend your arms straight in front of you, palms facing each other."", ""step:3 squeeze your hands together as hard as you can, engaging your forearms."", ""step:4 hold the squeeze for a few seconds, then release."", ""step:5 repeat for the desired number of repetitions.""]",lower arms,weighted,forearms,"step:1 stand with your feet shoulder-width apart and hold a weight in each hand. step:2 extend your arms straight in front of you, palms facing each other. step:3 squeeze your hands together as hard as you can, engaging your forearms. step:4 hold the squeeze for a few seconds, then release. step:5 repeat for the desired number of repetitions.",5
bJYHBIN,bodyweight standing calf raise,https://static.exercisedb.dev/media/bJYHBIN.gif,"[""lower legs""]","[""body weight""]","[""calves""]","[""ankles"", ""feet""]","[""step:1 stand with your feet shoulder-width apart, toes pointing forward."", ""step:2 place your hands on a wall or stable surface for balance."", ""step:3 slowly raise your heels off the ground, lifting your body weight onto the balls of your feet."", ""step:4 pause for a moment at the top, then slowly lower your heels back down to the starting position."", ""step:5 repeat for the desired number of repetitions.""]",lower legs,body weight,calves,"step:1 stand with your feet shoulder-width apart, toes pointing forward. step:2 place your hands on a wall or stable surface for balance. step:3 slowly raise your heels off the ground, lifting your body weight onto the balls of your feet. step:4 pause for a moment at the top, then slowly lower your heels back down to the starting position. step:5 repeat for the desired number of repetitions.",5
BKa8dmT,dumbbell over bench neutral wrist curl,https://static.exercisedb.dev/media/BKa8dmT.gif,"[""upper arms""]","[""dumbbell""]","[""biceps""]","[""forearms""]","[""step:1 sit on a bench with your feet flat on the ground and hold a dumbbell in each hand, palms facing up."", ""step:2 rest your forearms on the bench, allowing your wrists to hang off the edge."", ""step:3 keeping your upper arms stationary, exhale and curl the dumbbells up towards your shoulders."", ""step:4 pause for a moment at the top, then inhale and slowly lower the dumbbells back down to the starting position."", ""step:5 repeat for the desired number of repetitions.""]",upper arms,dumbbell,biceps,"step:1 sit on a bench with your feet flat on the ground and hold a dumbbell in each hand, palms facing up. step:2 rest your forearms on the bench, allowing your wrists to hang off the edge. step:3 keeping your upper arms stationary, exhale and curl the dumbbells up towards your shoulders. step:4 pause for a moment at the top, then inhale and slowly lower the dumbbells back down to the starting position. step:5 repeat for the desired number of repetitions.",5
bKWbrTA,one arm towel row,https://static.exercisedb.dev/media/bKWbrTA.gif,"[""back""]","[""body weight""]","[""upper back""]","[""biceps"", ""forearms""]","[""step:1 stand with your feet shoulder-width apart, knees slightly bent, and hold a towel with one hand."", ""step:2 bend forward at the waist, keeping your back straight and your core engaged."", ""step:3 extend your arm fully, allowing the towel to hang in front of you."", ""step:4 pull the towel towards your chest, squeezing your shoulder blades together."", ""step:5 pause for a moment at the top, then slowly lower the towel back to the starting position."", ""step:6 repeat for the desired number of repetitions, then switch arms.""]",back,body weight,upper back,"step:1 stand with your feet shoulder-width apart, knees slightly bent, and hold a towel with one hand. step:2 bend forward at the waist, keeping your back straight and your core engaged. step:3 extend your arm fully, allowing the towel to hang in front of you. step:4 pull the towel towards your chest, squeezing your shoulder blades together. step:5 pause for a moment at the top, then slowly lower the towel back to the starting position. step:6 repeat for the desired number of repetitions, then switch arms.",6
BkxB8LW,kettlebell seated press,https://static.exercisedb.dev/media/BkxB8LW.gif,"[""shoulders""]","[""kettlebell""]","[""delts""]","[""triceps"", ""core""]","[""step:1 sit on a bench with your back straight and feet flat on the ground."", ""step:2 hold a kettlebell in each hand at shoulder height, palms facing forward."", ""step:3 press the kettlebells overhead, fully extending your arms."", ""step:4 lower the kettlebells back to shoulder height."", ""step:5 repeat for the desired number of repetitions.""]",shoulders,kettlebell,delts,"step:1 sit on a bench with your back straight and feet flat on the ground. step:2 hold a kettlebell in each hand at shoulder height, palms facing forward. step:3 press the kettlebells overhead, fully extending your arms. step:4 lower the kettlebells back to shoulder height. step:5 repeat for the desired number of repetitions.",5
